id_pesquisavel;chave_pesquisavel;id_item;descricao;titulo;subtitulo;versao_min_ios;versao_min_android;deeplink;icone;feature_flag;palavras_chave
FEATURE-6398904060c459eabed781cd;6398904060c459eabed781cd;cofrinhos;Consulte seus cofrinhos e guarde a 102% do CDI aqui;Cofrinhos;Consulte seus cofrinhos e guarde a 102% do CDI aqui;11.00.056;11.00.074;picpay://picpay/investment/safes;piggy;;guardar dinheiro,guardar,cofre,separar dinheiro,dinheiro guardado,planejamento,objetivo,rendeu,cofrinhos,planejar,resgatar,reserva,rendendo,render,caixinhas,cdb,porco,caixinha,cdi,renda fixa,porquinho,investimento,meus cofrinhos,poupanca,investir,meta,investimentos,guarda dinheiro,guarda
FEATURE-6478abdcab543b134cc04337;6478abdcab543b134cc04337;emprestimo_com_garantia;Use seu carro como garantia e pague em até 60×;Empréstimo com Garantia;Use seu carro como garantia e pague em até 60×;11.00.084;11.00.120;picpay://picpay/cgv/onboarding?origin=BUSCA;car;is_cgv_loan_available;contratar emprestimo,emprestimo com carro,emprestimo usando carro,taxa de emprestimo,juros baixos,credito,credito com garantia,pedir emprestimo,dinheiro,pedir credito,pedir dinheiro,garantia de veiculo,veiculo,veiculares,ipva,multa,licenciamento
FEATURE-61f454380a4db67c7a42855b;61f454380a4db67c7a42855b;desbloquear_cartao;Seu cartão chegou? Desbloqueie e comece a usar;Desbloquear cartão;Seu cartão chegou? Desbloqueie e comece a usar;10.19.095;10.19.122;picpay://picpay/card/credit/validate;lock_open;;picpay card,desbloquear,desbloqueio,card,pedir cartao
FEATURE-648b5357bf409f24a8690970;648b5357bf409f24a8690970;gerenciar_carteira;Confira e edite os membros da sua Carteira Compartilhada;Gerenciar Carteira;Confira e edite os membros da sua Carteira Compartilhada;11.00.086;11.00.120;picpay://picpay/shared-wallet/members;wallet;show_shared_wallet_owner_drawer;dependentes,carteira compartilhada,conjunta,membros,conta conjunta,cotitular,cotitulares,retirar conta,gerenciar,compartilhar,carteira,conta compartilhada,participantes
FEATURE-65cd05340d2e812e33dbd85d;65cd05340d2e812e33dbd85d;recarga_de_celular;Vivo, Claro, Tim, Oi e outras;Recarga de Celular;Vivo, Claro, Tim, Oi e outras;9.05.003;9.05.001;picpay://picpay/phone-recharge?screen=BUSCA&component=BUSCA;phone;;vivo,tim,claro,oi,recarga,algar,nextel,correios,celular,carregar,recarregar,telefone,telefone celular,credito,colocar,colocar credito,teca,recargapay,recarga pay
FEATURE-8b35478156c3e1b52a9fa053;8b35478156c3e1b52a9fa053;faq_como_adicionar_dinheiro;Entenda aqui como adicionar dinheiro na sua conta PicPay;FAQ: Como adicionar dinheiro?;Entenda aqui como adicionar dinheiro na sua conta PicPay;11.00.025;11.00.026;picpay://picpay/helpcenter/category/360003814572?origin=busca;info;;gerar boleto,dinheiro,ted,auxilio,depositar,boleto,carteira,portabilidade,auxilio brasil,gerar
FEATURE-75fd13b422b3d46e6a218516;75fd13b422b3d46e6a218516;adicionar_outro_cartao;Adicione qualquer cartão de crédito e parcele tudo até 12x;Adicionar outro cartão;Adicione qualquer cartão de crédito e parcele tudo até 12x;11.00.015;11.00.035;picpay://picpay/cardregistration;add_card;;adicionar,inserir,cadastrar cartao de credito,adicionar cartao,cadastrar cartao,cadastrar,cadas,cada
FEATURE-62f526943e1ea7fc75a33242;62f526943e1ea7fc75a33242;radar_de_credito;Monitore seus dados e acelere suas ofertas;Radar de crédito;Monitore seus dados e acelere suas ofertas;11.00.028;11.00.035;picpay://picpay/hubcredito;doc_search;;debito,spc,negativado,pendencias,nome sujo,serasa,meu nome,score,meu cpf,cpf,negativo,credito,consultar,pendencia,regularizar,consulta,monitorar cpf,monitorar,credito,radar
FEATURE-6568fadfb54139616c71a440;6568fadfb54139616c71a440;modo_seguro;Seus saldos mais protegidos na rua;Modo Seguro;Seus saldos mais protegidos na rua;11.00.102;11.00.157;picpay://picpay/safe-places/hub;profile_home;is_safe_places_available;modo,rua,local,locais,protecao,endereco,enderecos,ocultar,oculto,proteger,saldo,carteira,seguro,seguros,segura,seguranca
FEATURE-66212f1771069b4240b467b4;66212f1771069b4240b467b4;meus_servicos;Configure seu cartão, chave pix, entre outros;Meus serviços;Configure seu cartão, chave pix, entre outros;11.00.006;11.00.006;picpay://picpay/adjustmentsv2/myservices;wrench;feature_onboarding_adjustments_v2_enabled;configurar,configuracoes,servicos,permissao,permissoes
